Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Alex Wesley (13041541),Alex Wesley,13041541,WR/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,NYG,0
RB,Ryan Yurachek (13041568),Ryan Yurachek,13041568,RB/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,DAL,0
WR,Jalen Guyton (13041726),Jalen Guyton,13041726,WR/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,DAL,0
WR,Cedrick Wilson (13041767),Cedrick Wilson,13041767,WR/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,DAL,0
RB,Andre Ellington (13040701),Andre Ellington,13040701,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
RB,Kyle Juszczyk (13040737),Kyle Juszczyk,13040737,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,4.34
WR,Jordan Matthews (13040819),Jordan Matthews,13040819,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,4.54
WR,K.J. Brent (13040913),K.J. Brent,13040913,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Max McCaffrey (13041025),Max McCaffrey,13041025,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,0
RB,Dare Ogunbowale (13041107),Dare Ogunbowale,13041107,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Trent Taylor (13041169),Trent Taylor,13041169,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,3.96
WR,Bobo Wilson (13041196),Bobo Wilson,13041196,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,1.84
WR,Spencer Schnell (13041238),Spencer Schnell,13041238,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Bryant Mitchell (13041246),Bryant Mitchell,13041246,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Kendrick Bourne (13041301),Kendrick Bourne,13041301,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,7.17
WR,Jalen Hurd (13041323),Jalen Hurd,13041323,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,0
WR,Richie James Jr. (13041368),Richie James Jr.,13041368,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,2.54
RB,Jeff Wilson Jr. (13041449),Jeff Wilson Jr.,13041449,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,7.73
RB,Austin Walter (13041550),Austin Walter,13041550,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,0
WR,Scotty Miller (13041593),Scotty Miller,13041593,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Malik Henry (13041619),Malik Henry,13041619,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,0
WR,DaMarkus Lodge (13041714),DaMarkus Lodge,13041714,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Cortrelle Simpson (13041730),Cortrelle Simpson,13041730,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
WR,Shawn Poindexter (13041809),Shawn Poindexter,13041809,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,0
WR,Anthony Johnson (13041820),Anthony Johnson,13041820,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,0
TE,Gerald Everett (13041539),Gerald Everett,13041539,TE/FLEX,2900,LAR@CAR 09/08/2019 01:00PM ET,LAR,4.93
TE,Geoff Swaim (13041130),Geoff Swaim,13041130,TE/FLEX,2900,KC@JAX 09/08/2019 01:00PM ET,JAX,6.24
TE,Dallas Goedert (13041318),Dallas Goedert,13041318,TE/FLEX,2900,WAS@PHI 09/08/2019 01:00PM ET,PHI,5.58
TE,Will Dissly (13041523),Will Dissly,13041523,TE/FLEX,2900,CIN@SEA 09/08/2019 04:05PM ET,SEA,9.65
DST,Lions  (13040571),Lions ,13040571,DST,2900,DET@ARI 09/08/2019 04:25PM ET,DET,6.25
TE,Ian Thomas (13041811),Ian Thomas,13041811,TE/FLEX,2800,LAR@CAR 09/08/2019 01:00PM ET,CAR,5.08
DST,Chiefs  (13040574),Chiefs ,13040574,DST,2800,KC@JAX 09/08/2019 01:00PM ET,KC,7.83
TE,Cameron Brate (13040800),Cameron Brate,13040800,TE/FLEX,2800,SF@TB 09/08/2019 04:25PM ET,TB,5.87
TE,Jonnu Smith (13041204),Jonnu Smith,13041204,TE/FLEX,2700,TEN@CLE 09/08/2019 01:00PM ET,TEN,4.91
TE,Josh Oliver (13041682),Josh Oliver,13041682,TE/FLEX,2700,KC@JAX 09/08/2019 01:00PM ET,JAX,0
TE,Hayden Hurst (13041684),Hayden Hurst,13041684,TE/FLEX,2700,BAL@MIA 09/08/2019 01:00PM ET,BAL,2.72
TE,Irv Smith Jr. (13041815),Irv Smith Jr.,13041815,TE/FLEX,2700,ATL@MIN 09/08/2019 01:00PM ET,MIN,0
TE,Ryan Griffin (13040711),Ryan Griffin,13040711,TE/FLEX,2700,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,3.74
TE,Vernon Davis (13040597),Vernon Davis,13040597,TE/FLEX,2700,WAS@PHI 09/08/2019 01:00PM ET,WAS,5.41
TE,Nick Vannett (13040931),Nick Vannett,13040931,TE/FLEX,2700,CIN@SEA 09/08/2019 04:05PM ET,SEA,4.71
DST,Cardinals  (13040581),Cardinals ,13040581,DST,2700,DET@ARI 09/08/2019 04:25PM ET,ARI,6.56
TE,Charles Clay (13040657),Charles Clay,13040657,TE/FLEX,2700,DET@ARI 09/08/2019 04:25PM ET,ARI,2.95
TE,Ricky Seals-Jones (13041216),Ricky Seals-Jones,13041216,TE/FLEX,2700,DET@ARI 09/08/2019 04:25PM ET,ARI,4.95
TE,Blake Jarwin (13041119),Blake Jarwin,13041119,TE/FLEX,2700,NYG@DAL 09/08/2019 04:25PM ET,DAL,4.83
TE,Tyler Higbee (13040906),Tyler Higbee,13040906,TE/FLEX,2600,LAR@CAR 09/08/2019 01:00PM ET,LAR,4.35
DST,Titans  (13040572),Titans ,13040572,DST,2600,TEN@CLE 09/08/2019 01:00PM ET,TEN,7.44
TE,Tyler Kroft (13040866),Tyler Kroft,13040866,TE/FLEX,2600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,1.52
DST,Colts  (13040573),Colts ,13040573,DST,2600,IND@LAC 09/08/2019 04:05PM ET,IND,7.89
TE,C.J. Uzomah (13040873),C.J. Uzomah,13040873,TE/FLEX,2600,CIN@SEA 09/08/2019 04:05PM ET,CIN,6.56
TE,Chris Manhertz (13040843),Chris Manhertz,13040843,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0.82
TE,Temarrick Hemingway (13040961),Temarrick Hemingway,13040961,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Marcus Baugh (13041142),Marcus Baugh,13041142,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Johnny Mundt (13041185),Johnny Mundt,13041185,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0.12
TE,Cole Hunt (13041236),Cole Hunt,13041236,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Jason Vander Laan (13041303),Jason Vander Laan,13041303,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,CAR,0
TE,Romello Brooker (13041430),Romello Brooker,13041430,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
TE,Kendall Blanton (13041471),Kendall Blanton,13041471,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
TE,Keenen Brown (13041875),Keenen Brown,13041875,TE/FLEX,2500,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
TE,Beau Brinkley (13040699),Beau Brinkley,13040699,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,0
TE,Ryan Hewitt (13040741),Ryan Hewitt,13040741,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,0.51
TE,Orson Charles (13040763),Orson Charles,13040763,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,0.41
TE,MyCole Pruitt (13040798),MyCole Pruitt,13040798,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,1.68
TE,Demetrius Harris (13040900),Demetrius Harris,13040900,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,2.8
TE,Seth DeValve (13040981),Seth DeValve,13040981,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,1.42
TE,Pharaoh Brown (13041007),Pharaoh Brown,13041007,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,0
TE,Rico Gathers (13041085),Rico Gathers,13041085,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,0.44
