Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Isaiah Searight (13041624),Isaiah Searight,13041624,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,NYG,0
TE,Codey McElroy (13041751),Codey McElroy,13041751,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,DAL,0
TE,Kyle Nelson (13040629),Kyle Nelson,13040629,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,0
TE,Garrett Celek (13040666),Garrett Celek,13040666,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,1.73
TE,Niles Paul (13040670),Niles Paul,13040670,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,3.25
TE,Levine Toilolo (13040743),Levine Toilolo,13040743,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,3.33
TE,Troy Niklas (13040971),Troy Niklas,13040971,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,TB,0
TE,Jordan Leggett (13041163),Jordan Leggett,13041163,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,TB,2.09
TE,Ross Dwelley (13041293),Ross Dwelley,13041293,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,0.31
TE,Daniel Helm (13041333),Daniel Helm,13041333,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,0
TE,Tyree Mayfield (13041385),Tyree Mayfield,13041385,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,0
TE,Kaden Smith (13041801),Kaden Smith,13041801,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,SF,0
TE,Antony Auclair (13041837),Antony Auclair,13041837,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,TB,0.74
TE,Tanner Hudson (13041855),Tanner Hudson,13041855,TE/FLEX,2500,SF@TB 09/08/2019 04:25PM ET,TB,0
DST,Falcons  (13040566),Falcons ,13040566,DST,2400,ATL@MIN 09/08/2019 01:00PM ET,ATL,5.06
DST,Jaguars  (13040588),Jaguars ,13040588,DST,2300,KC@JAX 09/08/2019 01:00PM ET,JAX,7.19
DST,Giants  (13040578),Giants ,13040578,DST,2300,NYG@DAL 09/08/2019 04:25PM ET,NYG,5.19
DST,49ers  (13040583),49ers ,13040583,DST,2200,SF@TB 09/08/2019 04:25PM ET,SF,3.62
DST,Buccaneers  (13040585),Buccaneers ,13040585,DST,2200,SF@TB 09/08/2019 04:25PM ET,TB,4.25
DST,Panthers  (13040587),Panthers ,13040587,DST,2100,LAR@CAR 09/08/2019 01:00PM ET,CAR,5.75
